-49 -88 -7
-49 -78 -8
-49 -70 -9
-48 -64 -10
-48 -58 -11
-48 -54 -12
-48 -50 -13
-47 -46 -14
-47 -43 -15
-47 -41 -16
-46 -38 -17
-46 -36 -18
-46 -34 -19
-45 -33 -20
-45 -31 -21
-44 -30 -22
-44 -28 -22
-43 -27 -23
-43 -26 -24
-42 -25 -25
-42 -24 -26
-41 -23 -27
-41 -22 -28
-40 -21 -28
-40 -21 -29
-39 -20 -30
-38 -19 -31
-38 -19 -32
-37 -18 -32
-37 -18 -33
-36 -17 -34
-35 -17 -35
-34 -16 -35
-34 -16 -36
-33 -15 -37
-32 -15 -37
-31 -14 -38
-31 -14 -39
-30 -14 -39
-29 -13 -40
-28 -13 -40
-27 -13 -41
-27 -12 -41
-26 -12 -42
-25 -12 -43
-24 -11 -43
-23 -11 -44
-22 -11 -44
-21 -11 -44
-21 -10 -45
-20 -10 -45
-19 -10 -46
-18 -10 -46
-17 -10 -46
-16 -9 -47
-15 -9 -47
-14 -9 -47
-13 -9 -48
-12 -9 -48
-11 -8 -48
-10 -8 -48
-9 -8 -49
-8 -8 -49
-7 -8 -49
-6 -8 -49
-5 -7 -49
-4 -7 -49
-3 -7 -49
-2 -7 -49
-1 -7 -49
0 -7 -49
0 -6 -49
1 -6 -49
2 -6 -49
3 -6 -49
4 -6 -49
5 -6 -49
6 -6 -49
7 -6 -49
8 -5 -49
9 -5 -49
10 -5 -48
11 -5 -48
12 -5 -48
13 -5 -48
14 -5 -47
15 -5 -47
16 -5 -47
16 -4 -47
17 -4 -46
18 -4 -46
19 -4 -45
20 -4 -45
21 -4 -45
22 -4 -44
23 -4 -44
24 -4 -43
25 -4 -43
25 -3 -42
26 -3 -42
27 -3 -41
28 -3 -41
29 -3 -40
30 -3 -39
30 -3 -39
31 -3 -38
32 -3 -38
33 -3 -37
33 -3 -36
34 -2 -36
35 -2 -35
36 -2 -34
36 -2 -33
37 -2 -33
38 -2 -32
38 -2 -31
39 -2 -30
39 -2 -30
40 -2 -29
41 -2 -28
41 -2 -27
42 -2 -26
42 -1 -25
43 -1 -25
43 -1 -24
44 -1 -23
44 -1 -22
45 -1 -21
45 -1 -20
45 -1 -19
46 -1 -18
46 -1 -17
47 -1 -16
47 -1 -15
47 -1 -14
47 -1 -14
48 0 -13
48 0 -12
48 0 -11
48 0 -10
49 0 -9
49 0 -8
49 0 -7
49 0 -6
49 0 -5
49 0 -4
49 0 -3
49 0 -2
49 0 -1
49 0 0
49 0 0
49 0 1
49 0 2
49 0 3
49 0 4
49 0 5
49 0 6
49 0 7
49 0 8
49 0 9
48 0 10
48 0 11
48 0 12
48 0 13
47 1 14
47 1 15
47 1 16
46 1 17
46 1 18
46 1 19
45 1 20
45 1 21
44 1 21
44 1 22
43 1 23
43 1 24
43 1 25
42 1 26
41 2 27
41 2 28
40 2 28
40 2 29
39 2 30
39 2 31
38 2 32
37 2 32
37 2 33
36 2 34
35 2 35
34 2 35
34 3 36
33 3 37
32 3 37
32 3 38
31 3 39
30 3 39
29 3 40
28 3 40
28 3 41
27 3 41
26 3 42
25 3 43
24 4 43
23 4 43
22 4 44
21 4 44
21 4 45
20 4 45
19 4 46
18 4 46
17 4 46
16 4 47
15 5 47
14 5 47
13 5 48
12 5 48
11 5 48
10 5 48
9 5 49
8 5 49
7 5 49
6 6 49
5 6 49
4 6 49
3 6 49
2 6 49
1 6 49
0 6 49
0 7 49
-1 7 49
-2 7 49
-3 7 49
-4 7 49
-5 7 49
-6 7 49
-7 8 49
-8 8 49
-9 8 49
-10 8 48
-11 8 48
-12 8 48
-13 9 48
-14 9 47
-14 9 47
-15 9 47
-16 9 47
-17 10 46
-18 10 46
-19 10 45
-20 10 45
-21 11 45
-22 11 44
-23 11 44
-24 11 43
-25 12 43
-25 12 42
-26 12 42
-27 13 41
-28 13 41
-29 13 40
-30 14 39
-30 14 39
-31 14 38
-32 15 38
-33 15 37
-33 15 36
-34 16 36
-35 16 35
-36 17 34
-36 17 33
-37 18 33
-38 18 32
-38 19 31
-39 20 30
-39 20 30
-40 21 29
-41 22 28
-41 23 27
-42 24 26
-42 24 25
-43 25 25
-43 27 24
-44 28 23
-44 29 22
-45 30 21
-45 32 20
-45 33 19
-46 35 18
-46 37 17
-47 40 16
-47 42 16
-47 45 15
-47 48 14
-48 52 13
-48 56 12
-48 61 11
-48 67 10
-49 75 9
-49 84 8
