-49 0 -65
-49 -1 -65
-49 -2 -65
-49 -3 -65
-49 -4 -65
-49 -5 -65
-49 -6 -65
-49 -8 -64
-49 -9 -64
-48 -10 -64
-48 -11 -64
-48 -12 -64
-48 -13 -64
-47 -14 -63
-47 -15 -63
-47 -16 -63
-46 -17 -63
-46 -19 -63
-45 -20 -63
-45 -21 -62
-44 -22 -62
-44 -23 -62
-43 -24 -62
-43 -25 -62
-42 -26 -62
-41 -27 -61
-41 -28 -61
-40 -29 -61
-39 -30 -61
-39 -30 -61
-38 -31 -61
-37 -32 -60
-37 -33 -60
-36 -34 -60
-35 -35 -60
-34 -36 -60
-33 -36 -60
-32 -37 -60
-32 -38 -59
-31 -39 -59
-30 -39 -59
-29 -40 -59
-28 -41 -59
-27 -41 -59
-26 -42 -58
-25 -42 -58
-24 -43 -58
-23 -44 -58
-22 -44 -58
-21 -45 -58
-20 -45 -57
-19 -46 -57
-18 -46 -57
-17 -46 -57
-16 -47 -57
-15 -47 -57
-13 -48 -56
-12 -48 -56
-11 -48 -56
-10 -48 -56
-9 -49 -56
-8 -49 -56
-7 -49 -55
-6 -49 -55
-4 -49 -55
-3 -49 -55
-2 -49 -55
-1 -49 -55
0 -49 -55
0 -49 -54
1 -49 -54
3 -49 -54
4 -49 -54
5 -49 -54
6 -49 -54
7 -49 -53
8 -49 -53
9 -49 -53
11 -48 -53
12 -48 -53
13 -48 -53
14 -47 -52
15 -47 -52
16 -47 -52
17 -46 -52
18 -46 -52
19 -45 -52
20 -45 -51
21 -44 -51
22 -44 -51
23 -43 -51
24 -43 -51
25 -42 -51
26 -42 -51
27 -41 -50
28 -40 -50
29 -40 -50
30 -39 -50
31 -38 -50
32 -38 -50
33 -37 -49
34 -36 -49
34 -35 -49
35 -34 -49
36 -34 -49
37 -33 -49
38 -32 -48
38 -31 -48
39 -30 -48
40 -29 -48
40 -28 -48
41 -27 -48
42 -26 -47
42 -25 -47
43 -24 -47
43 -23 -47
44 -22 -47
45 -21 -47
45 -20 -46
45 -19 -46
46 -18 -46
46 -17 -46
47 -16 -46
47 -15 -46
47 -14 -46
48 -13 -45
48 -12 -45
48 -10 -45
49 -9 -45
49 -8 -45
49 -7 -45
49 -6 -44
49 -5 -44
49 -4 -44
49 -2 -44
49 -1 -44
49 0 -44
49 0 -43
49 1 -43
49 2 -43
49 3 -43
49 5 -43
49 6 -43
49 7 -42
49 8 -42
49 9 -42
48 10 -42
48 11 -42
48 12 -42
47 14 -41
47 15 -41
47 16 -41
46 17 -41
46 18 -41
46 19 -41
45 20 -41
45 21 -40
44 22 -40
44 23 -40
43 24 -40
42 25 -40
42 26 -40
41 27 -39
41 28 -39
40 29 -39
39 30 -39
38 31 -39
38 32 -39
37 33 -38
36 33 -38
35 34 -38
35 35 -38
34 36 -38
33 37 -38
32 37 -37
31 38 -37
30 39 -37
29 40 -37
28 40 -37
28 41 -37
27 42 -36
26 42 -36
25 43 -36
24 43 -36
23 44 -36
22 44 -36
21 45 -36
19 45 -35
18 46 -35
17 46 -35
16 47 -35
15 47 -35
14 47 -35
13 48 -34
12 48 -34
11 48 -34
10 48 -34
9 49 -34
7 49 -34
6 49 -33
5 49 -33
4 49 -33
3 49 -33
2 49 -33
1 49 -33
0 49 -32
-1 49 -32
-2 49 -32
-3 49 -32
-4 49 -32
-5 49 -32
-7 49 -32
-8 49 -31
-9 49 -31
-10 48 -31
-11 48 -31
-12 48 -31
-13 48 -31
-14 47 -30
-15 47 -30
-17 47 -30
-18 46 -30
